t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,0.13964852199291078,0.11004767070668753,0.2049175762333908,False,True,-0.07604491259219678,0.35534195657801837
-11,0.1530103834978694,0.13568814249134317,0.259893272990515,False,True,-0.11293837578516322,0.41895914278090207
-10,0.022349849278031707,0.1249144068283907,0.8580571968752357,False,True,-0.22248238810561405,0.2671820866616775
-9,0.1531167955503912,0.1429219067709772,0.28443177362656846,False,True,-0.12701014172072406,0.43324373282150647
-8,0.12395338367189289,0.15133857001195303,0.41307036920497264,False,True,-0.172670213551535,0.4205769808953208
-7,0.19948770560864085,0.12632693259079333,0.1148078533789858,False,True,-0.04811308226931407,0.44708849348659574
-6,0.12522856154574888,0.1550365829925095,0.4195486658534431,False,True,-0.17864314111956972,0.4291002642110675
-5,0.05984870575004208,0.10613454500730912,0.5730271175714698,False,True,-0.14817500246428378,0.26787241396436795
-4,0.2207023943214235,0.16103207180871132,0.1710051657245728,False,True,-0.09492046642365068,0.5363252550664976
-3,0.030228389591906484,0.10669352700150718,0.7770250644211434,False,True,-0.17889092333104759,0.23934770251486057
-2,0.00870593158595534,0.12881429178805848,0.9461373986966488,False,True,-0.24377008031863928,0.26118194349054996
-1,0.0,0.0,,True,True,0.0,0.0
0,-0.08623887922799246,0.1552864673894369,0.5788506749590518,False,False,-0.3906003553112888,0.21812259685530389
1,0.22287244599423214,0.15251346588530654,0.14442516228774793,False,False,-0.07605394714096866,0.5217988391294329
2,0.04400760990088069,0.14795940856409034,0.7662363805809866,False,False,-0.2459928308847364,0.3340080506864978
3,0.026046321778886865,0.1513400944404867,0.863410766446409,False,False,-0.27058026332446705,0.3226729068822408
4,0.18496126793417061,0.14345726159697314,0.1977640662809197,False,False,-0.09621496479589675,0.466137500664238
5,-0.0006649241779604767,0.1500218584099748,0.9964650495264447,False,False,-0.2947077666615111,0.2933779183055901
6,0.10656557554264487,0.14177183080722613,0.45253137743838123,False,False,-0.17130721283951836,0.3844383639248081
7,0.06512673836863515,0.12631134199852154,0.606311894793955,False,False,-0.18244349194846704,0.3126969686857374
8,0.21337174560716674,0.13029805081518583,0.10201305506032865,False,False,-0.04201243399059748,0.4687559252049309
9,-0.04588919945751283,0.13756074377905772,0.7387986123358061,False,False,-0.31550825726446596,0.22372985834944029
10,-0.028063266601124764,0.13300358867885562,0.8329585968257271,False,False,-0.2887503004116818,0.23262376720943226
11,0.02571408832124076,0.1017833150877566,0.800632489086536,False,False,-0.17378120925076218,0.22520938589324369
12,-0.02869340392998338,0.13408357710699706,0.8306193187352895,False,False,-0.2914972150596976,0.23411040719973086
13,-0.0994389180041412,0.13556184899519994,0.4635079212745501,False,False,-0.3651401420347331,0.16626230602645067
14,0.19138812151107035,0.13672234370438502,0.1620578437160083,False,False,-0.0765876721495243,0.45936391517166497
15,-0.0026810331592688067,0.14568967409099992,0.9853237183809527,False,False,-0.28823279437762866,0.282870728059091
16,0.020193372621830658,0.12289606340063823,0.869537927391399,False,False,-0.22068291164342027,0.2610696568870816
17,0.07151929125675717,0.13289649553310123,0.5906587555418392,False,False,-0.18895783998812127,0.3319964225016356
18,0.017458351763864434,0.1369195151158862,0.8985790537152849,False,False,-0.2509038978632725,0.2858206013910014
19,0.06508235559222567,0.14771392078617182,0.6596561734087034,False,False,-0.2244369291486711,0.35460164033312247
20,0.20300767825928337,0.1411206579845052,0.1507791291807714,False,False,-0.07358881139034681,0.4796041679089136
21,0.12040742086328717,0.12036726016489172,0.3175343458098503,False,False,-0.11551240905990058,0.3563272507864749
22,0.20034853079930784,0.12837146888078282,0.11909982728193902,False,False,-0.05125954820702647,0.4519566098056421
23,0.07846258344835107,0.15949524588309674,0.6229314887148405,False,False,-0.23414809848251855,0.39107326537922066
24,0.1828836220557954,0.11693372801640409,0.11832277675697056,False,False,-0.046306484856356606,0.41207372896794736
